ID,Staff ID ,Last MKB staff training (yrs),Center,Borough,Assigned ACI Code,Correct ACI Code,Documentation,Call for verification,Wrongfully Accepted? ,Wrongfully Denied?,Error,PRUCOL?,ADDRESS
8,7,2,Crotona,Bronx,A,J,I-766 a10,N,N,N,Wrong ACI Code,N,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
26,7,2,Crotona,Bronx,A,J,I-766 a10,N,N,N,Wrong ACI Code,N,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
29,9,5,Crotona,Bronx,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
42,10,8,Crotona,Bronx,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
76,10,8,Crotona,Bronx,R,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
95,10,8,Crotona,Bronx,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
25,11,7,East New York,Brooklyn ,C,R,I-94 212d5,N,N,N,Wrong ACI Code,N,"404 Pine Street, 1st Fl., Brooklyn, New York 11208"
1,12,1,Fort Greene,Brooklyn ,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
2,12,1,Fort Greene,Brooklyn ,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
9,13,1,Fort Greene,Brooklyn ,R,J,I-766 a10,N,N,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
13,13,1,Fort Greene,Brooklyn ,C,K,I-551 F16,N,N,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
14,14,3,Fort Greene,Brooklyn ,C,B,I-94 K3 and I-130,N,N ,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
15,14,3,Fort Greene,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
16,15,5,Fort Greene,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
23,15,5,Fort Greene,Brooklyn ,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
28,15,5,Fort Greene,Brooklyn ,A,J,I-766 a10,N,N,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
45,16,6,Fort Greene,Brooklyn ,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
46,16,6,Fort Greene,Brooklyn ,O,K,I-551 F44,Y,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
47,16,6,Fort Greene,Brooklyn ,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
48,16,6,Fort Greene,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
49,16,6,Fort Greene,Brooklyn ,K,K,I-551 F22,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
50,17,7,Fort Greene,Brooklyn ,R,J,I-766 a10,N,N,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
51,17,7,Fort Greene,Brooklyn ,A,J,I-766 a10,N,N,N,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
52,17,7,Fort Greene,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
77,18,8,Fort Greene,Brooklyn ,K,K,I-551 F43,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
78,18,8,Fort Greene,Brooklyn ,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
79,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
80,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
81,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
82,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
83,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
84,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
85,18,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
86,19,8,Fort Greene,Brooklyn ,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
87,19,8,Fort Greene,Brooklyn ,K,K,I-551 F11,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
88,19,8,Fort Greene,Brooklyn ,K,K,I-551 F16,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
89,19,8,Fort Greene,Brooklyn ,K,K,I-551 F43,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
90,19,8,Fort Greene,Brooklyn ,K,K,I-551 F26,Y,N,Y,"Right Code, Wrong Determination",N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
91,19,8,Fort Greene,Brooklyn ,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"275 Bergen Street, 1st Fl., Brooklyn, NY 11217"
3,20,1,Jamaica,Queens,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
6,20,1,Jamaica,Queens,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
18,20,1,Jamaica,Queens,K,K,I-551 F43,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
19,21,4,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
20,22,5,Jamaica,Queens,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
35,22,5,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
36,22,5,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
37,23,6,Jamaica,Queens,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
38,23,6,Jamaica,Queens,K,K,I-551 F16,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
39,23,6,Jamaica,Queens,K,K,I-551 F22,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
40,23,6,Jamaica,Queens,K,K,I-551 F43,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
41,23,6,Jamaica,Queens,K,K,I-551 F29,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
59,24,7,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
60,24,7,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
61,24,7,Jamaica,Queens,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
62,24,7,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
63,24,7,Jamaica,Queens,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
64,24,7,Jamaica,Queens,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
65,24,7,Jamaica,Queens,K,K,I-551 F11,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
66,24,7,Jamaica,Queens,K,K,I-551 F21,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
92,25,8,Jamaica,Queens,O,K,I-551 F16,Y,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
100,25,8,Jamaica,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
101,25,8,Jamaica,Queens,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
102,25,8,Jamaica,Queens,K,K,I-551 F21,Y,N,Y,"Right Code, Wrong Determination",N,"165-08 88th Avenue, 3rd Fl., Jamaica, NY 11432"
4,26,1,Queens,Queens,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
21,26,1,Queens,Queens,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
53,27,3,Queens,Queens,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
56,27,3,Queens,Queens,K,K,I-551 F43,Y,N,Y,"Right Code, Wrong Determination",N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
93,27,3,Queens,Queens,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
94,28,8,Queens,Queens,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
96,28,8,Queens,Queens,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
97,28,8,Queens,Queens,R,J,I-766 a10,N,N,N,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
98,28,8,Queens,Queens,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
99,28,8,Queens,Queens,O,B,prima facie,N,N,Y,Wrong ACI Code,N,"32-20 Northern Blvd., 2nd Fl., LIC, NY 11101"
57,29,6,Refugee,Brooklyn ,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"500 Dekalb Avenue, 4rd Fl., Brooklyn, NY?11205"
30,30,7,Richmond,Staten Island,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"201 Bay Street, 2nd Fl., Staten Island, NY 10301"
44,31,1,Rockaway,Queens,O,K,I-551 F44,Y,N,Y,Wrong ACI Code,N,"219 Beach 59th Street, 1st Fl., Rockaway, NY 11692"
17,32,2,St. Nicholas,Manhattan,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"132 W.125th Street, 3rd Fl., New York, NY 10027"
22,33,4,Washington Heights,Manhattan,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"4055 10th Avenue, Lower Level, New York, NY 10034"
71,34,7,Washington Heights,Manhattan,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"4055 10th Avenue, Lower Level, New York, NY 10034"
72,34,7,Washington Heights,Manhattan,O,K,I-551 F44,N,N,Y,Wrong ACI Code,N,"4055 10th Avenue, Lower Level, New York, NY 10034"
73,34,7,Washington Heights,Manhattan,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"4055 10th Avenue, Lower Level, New York, NY 10034"
74,34,7,Washington Heights,Manhattan,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"4055 10th Avenue, Lower Level, New York, NY 10034"
10,35,4,Waverly,Manhattan,O,G,I-688B 12a4,N,N,Y,Wrong ACI Code,N,"12 West 14th St, 4th Fl., New York, NY 10011"
11,35,4,Waverly,Manhattan,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"12 West 14th St, 4th Fl., New York, NY 10011"
32,36,6,Waverly,Manhattan,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"12 West 14th St, 4th Fl., New York, NY 10011"
33,36,6,Waverly,Manhattan,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"12 West 14th St, 4th Fl., New York, NY 10011"
34,36,6,Waverly,Manhattan,O,H,I-551 CU6,N,N,Y,Wrong ACI Code,N,"12 West 14th St, 4th Fl., New York, NY 10011"
55,36,6,Waverly,Manhattan,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"12 West 14th St, 4th Fl., New York, NY 10011"
43,37,7,Williamsburg,Brooklyn ,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"30 Thornton Street, 4th Fl., Brooklyn, NY 11206"
58,37,7,Williamsburg,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"30 Thornton Street, 4th Fl., Brooklyn, NY 11206"
